"GEO_ID","NAME","B19013_001E","B19013_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Race/Ethnic Group","Population Groups",
"1400000US36005022702","Census Tract 227.02; Bronx County; New York","23500","15325","001","Total population",
"1400000US36005022703","Census Tract 227.03; Bronx County; New York","45673","9614","001","Total population",
"1400000US36005022800","Census Tract 228; Bronx County; New York","45069","11303","001","Total population",
"1400000US36005022901","Census Tract 229.01; Bronx County; New York","24115","6826","001","Total population",
"1400000US36005022902","Census Tract 229.02; Bronx County; New York","24142","7428","001","Total population",
"1400000US36005023000","Census Tract 230; Bronx County; New York","43929","19129","001","Total population",
"1400000US36005023100","Census Tract 231; Bronx County; New York","24250","15825","001","Total population",
"1400000US36005023200","Census Tract 232; Bronx County; New York","44318","10356","001","Total population",
"1400000US36005023301","Census Tract 233.01; Bronx County; New York","26250","5052","001","Total population",
"1400000US36005023302","Census Tract 233.02; Bronx County; New York","22566","8178","001","Total population",
"1400000US36005023501","Census Tract 235.01; Bronx County; New York","27316","10692","001","Total population",
"1400000US36005023502","Census Tract 235.02; Bronx County; New York","21582","2792","001","Total population",
"1400000US36005023600","Census Tract 236; Bronx County; New York","40903","3595","001","Total population",
"1400000US36005023702","Census Tract 237.02; Bronx County; New York","32500","7283","001","Total population",
"1400000US36005023703","Census Tract 237.03; Bronx County; New York","27128","7618","001","Total population",
"1400000US36005023704","Census Tract 237.04; Bronx County; New York","20918","2897","001","Total population",
"1400000US36005023800","Census Tract 238; Bronx County; New York","50074","9350","001","Total population",
"1400000US36005023900","Census Tract 239; Bronx County; New York","20985","6855","001","Total population",
"1400000US36005024000","Census Tract 240; Bronx County; New York","34705","4686","001","Total population",
"1400000US36005024100","Census Tract 241; Bronx County; New York","23856","4225","001","Total population",
"1400000US36005024300","Census Tract 243; Bronx County; New York","19669","2381","001","Total population",
"1400000US36005024400","Census Tract 244; Bronx County; New York","59063","11820","001","Total population",
"1400000US36005024501","Census Tract 245.01; Bronx County; New York","24864","4521","001","Total population",
"1400000US36005024502","Census Tract 245.02; Bronx County; New York","25605","10156","001","Total population",
"1400000US36005024600","Census Tract 246; Bronx County; New York","63516","10356","001","Total population",
"1400000US36005024700","Census Tract 247; Bronx County; New York","41455","4720","001","Total population",
"1400000US36005024800","Census Tract 248; Bronx County; New York","52279","14838","001","Total population",
"1400000US36005025000","Census Tract 250; Bronx County; New York","54726","16587","001","Total population",
"1400000US36005025100","Census Tract 251; Bronx County; New York","28615","6458","001","Total population",
"1400000US36005025200","Census Tract 252; Bronx County; New York","60625","18518","001","Total population",
"1400000US36005025300","Census Tract 253; Bronx County; New York","30957","3740","001","Total population",
"1400000US36005025400","Census Tract 254; Bronx County; New York","50238","4346","001","Total population",
"1400000US36005025500","Census Tract 255; Bronx County; New York","19458","7457","001","Total population",
"1400000US36005025600","Census Tract 256; Bronx County; New York","37236","5257","001","Total population",
"1400000US36005025700","Census Tract 257; Bronx County; New York","28203","11737","001","Total population",
"1400000US36005026100","Census Tract 261; Bronx County; New York","73688","6611","001","Total population",
"1400000US36005026300","Census Tract 263; Bronx County; New York","32663","10314","001","Total population",
"1400000US36005026400","Census Tract 264; Bronx County; New York","72019","20764","001","Total population",
"1400000US36005026500","Census Tract 265; Bronx County; New York","31147","4465","001","Total population",
"1400000US36005026601","Census Tract 266.01; Bronx County; New York","52450","9492","001","Total population",
"1400000US36005026602","Census Tract 266.02; Bronx County; New York","40755","9476","001","Total population",
"1400000US36005026701","Census Tract 267.01; Bronx County; New York","37061","4534","001","Total population",
"1400000US36005026702","Census Tract 267.02; Bronx County; New York","39432","10685","001","Total population",
"1400000US36005026900","Census Tract 269; Bronx County; New York","33365","5922","001","Total population",
"1400000US36005027300","Census Tract 273; Bronx County; New York","42093","7063","001","Total population",
"1400000US36005027401","Census Tract 274.01; Bronx County; New York","80673","10749","001","Total population",
"1400000US36005027402","Census Tract 274.02; Bronx County; New York","71849","16414","001","Total population",
"1400000US36005027700","Census Tract 277; Bronx County; New York","33095","9330","001","Total population",
"1400000US36005027900","Census Tract 279; Bronx County; New York","55573","6246","001","Total population",
"1400000US36005028100","Census Tract 281; Bronx County; New York","61886","3689","001","Total population",
"1400000US36005028300","Census Tract 283; Bronx County; New York","24759","6315","001","Total population",
"1400000US36005028400","Census Tract 284; Bronx County; New York","null","null","001","Total population",
