,GEOID,B19013_001E
938,360050389001,45000
939,360050389002,37768
940,360050389003,-
941,360050389004,57375
942,360050389005,55875
943,360050390001,49712
944,360050390002,67431
945,360050391001,32304
946,360050391002,27639
947,360050391003,-
948,360050391004,-
949,360050391005,24182
950,360050391006,78622
951,360050392001,73421
952,360050392002,57861
953,360050393001,39701
954,360050393002,48449
955,360050393003,13404
956,360050393004,59258
957,360050393005,11661
958,360050393006,30056
959,360050394001,38897
960,360050394002,52037
961,360050394003,91125
962,360050394004,25500
963,360050395001,-
964,360050395002,46898
965,360050395003,-
966,360050395004,-
967,360050396001,38194
968,360050396002,41852
969,360050396003,48063
970,360050396004,35660
971,360050397001,19375
972,360050397002,37368
973,360050398001,-
974,360050398002,-
975,360050398003,61038
976,360050399011,41184
977,360050399012,19655
978,360050399013,54073
979,360050399014,41091
980,360050399015,-
981,360050399021,47188
982,360050399022,39583
983,360050399023,66354
984,360050399024,51528
985,360050399025,51522
986,360050401001,26489
987,360050401002,26563
988,360050401003,28638
989,360050401004,62171
990,360050401005,"2,500-"
991,360050403021,54948
992,360050403022,41766
993,360050403023,-
994,360050403031,46583
995,360050403032,53177
996,360050403033,25625
997,360050403041,25169
998,360050403042,48715
999,360050403043,20862
1000,360050404001,103105
1001,360050404002,39504
1002,360050404003,-
1003,360050405011,41589
1004,360050405012,41838
1005,360050405013,50509
1006,360050405021,35778
1007,360050405022,51764
1008,360050405023,38355
1009,360050405024,-
1010,360050405025,-
1011,360050405026,38375
1012,360050406001,76500
1013,360050406002,28750
1014,360050406003,46291
1015,360050407011,47200
1016,360050407012,42031
1017,360050407013,51366
1018,360050407021,-
1019,360050407022,26818
1020,360050407023,43906
1021,360050407024,34695
1022,360050407025,21657
1023,360050408001,-
1024,360050408002,-
1025,360050408003,35456
1026,360050408004,41541
1027,360050409001,57143
1028,360050409002,-
1029,360050411001,67146
1030,360050411002,33187
1031,360050411003,51280
1032,360050413001,59148
1033,360050413002,76019
1034,360050413003,60871
1035,360050413004,48097
1036,360050413005,58026
1037,360050413006,69181
1038,360050413007,73529
1039,360050414001,146515
1040,360050414002,33949
1041,360050414003,-
1042,360050414004,59806
1043,360050415001,35028
1044,360050415002,52639
1045,360050415003,38125
1046,360050415004,-
1047,360050415005,38590
1048,360050415006,67216
1049,360050418001,50096
1050,360050418002,-
1051,360050418003,45273
1052,360050418004,69250
1053,360050419001,62988
1054,360050419002,-
1055,360050419003,15916
1056,360050419004,-
1057,360050419005,21534
1058,360050419006,51928
1059,360050419007,90464
1060,360050420001,-
1061,360050420002,-
1062,360050420003,-
1063,360050421001,78158
1064,360050421002,66319
1065,360050421003,-
1066,360050421004,36295
1067,360050421005,38750
1068,360050422001,95966
1069,360050422002,70288
1070,360050423001,-
1071,360050423002,72614
1072,360050423003,64712
1073,360050424001,103207
1074,360050424002,93462
1075,360050425001,-
1076,360050425002,46528
1077,360050425003,63071
1078,360050425004,-
1079,360050425005,-
1080,360050425006,39375
1081,360050425007,24706
1082,360050426001,157962
1083,360050426002,55340
1084,360050426003,108864
1085,360050426004,-
1086,360050426005,77041
1087,360050426006,"250,000+"
1088,360050428001,-
1089,360050428002,70781
1090,360050429011,42230
1091,360050429012,68500
1092,360050429013,32556
1093,360050429021,38750
1094,360050429022,49605
1095,360050429023,59861
1096,360050430001,107068
1097,360050430002,-
1098,360050430003,80807
1099,360050431011,-
1100,360050431012,-
1101,360050431013,46495
1102,360050431014,68429
1103,360050431021,-
1104,360050431022,29622
1105,360050431023,42911
1106,360050434001,78163
1107,360050434002,-
1108,360050434003,-
1109,360050434004,70862
1110,360050435011,26523
1111,360050435021,-
1112,360050435031,88438
1113,360050436001,82356
1114,360050436002,38781
1115,360050442001,33859
1116,360050442002,-
1117,360050442003,75399
1118,360050442004,-
1119,360050442005,-
1120,360050444001,120921
1121,360050444002,106755
1122,360050444003,84091
1123,360050444004,-
1124,360050448001,84438
1125,360050448002,137941
1126,360050449011,84940
1127,360050449012,98300
1128,360050449021,106389
1129,360050449022,76406
1130,360050451011,105481
1131,360050451012,59549
1132,360050451021,155486
1133,360050451022,91378
1134,360050456001,-
1135,360050456002,142734
1136,360050456003,-
1137,360050458001,-
1138,360050458002,-
1139,360050458003,-
1140,360050458004,24465
1141,360050460001,40273
1142,360050460002,-
1143,360050462031,38773
1144,360050462032,-
1145,360050462033,47091
1146,360050462041,98632
1147,360050462042,72542
1148,360050462043,-
1149,360050462044,52456
1150,360050462051,-
1151,360050462052,47227
1152,360050462053,61568
1153,360050462054,-
1154,360050462055,-
1155,360050462061,-
1156,360050462062,39743
1157,360050462063,-
1158,360050462064,58952
1159,360050462071,103106
1160,360050462072,-
1161,360050462073,68972
1162,360050462081,115221
1163,360050462082,-
1164,360050462083,108676
1165,360050462084,72871
1166,360050462091,28576
1167,360050462092,-
1168,360050462093,-
1169,360050484011,112857
1170,360050484012,-
1171,360050484013,83500
1172,360050484021,-
1173,360050504000,-
1174,360050504001,-
1175,360050516010,-
1176,360050516011,-
1177,360050516012,128735
1178,360050516013,170242
1179,360050516014,115494
1180,360050516015,-
1181,360050516020,-
1182,360050516021,-
1183,360470001001,"250,000+"
1184,360470001002,120966
1185,360470001003,178558
1186,360470001004,100689
1187,360470002001,78942
1188,360470003011,169097
1189,360470003012,178992
1190,360470003013,-
1191,360470003014,"250,000+"
1192,360470003015,171053
1193,360470005011,134769
1194,360470005012,160486
1195,360470005013,122500
1196,360470005021,185694
1197,360470005022,143438
1198,360470007001,189375
1199,360470007002,175962
1200,360470007003,169784
1201,360470009001,230856
1202,360470009002,167262
1203,360470011001,166250
1204,360470013001,148542
1205,360470013002,-
1206,360470015011,164500
1207,360470015012,47591
1208,360470015021,130471
1209,360470018010,-
1210,360470018011,-
1211,360470018012,-
1212,360470018020,-
1213,360470018021,-
1214,360470018030,-
1215,360470018031,-
1216,360470018040,-
1217,360470018041,-
1218,360470020001,91176
1219,360470020002,70688
1220,360470021001,"250,000+"
1221,360470021002,"250,000+"
1222,360470021003,234564
1223,360470022001,37417
1224,360470022002,45724
1225,360470022003,-
1226,360470022004,26167
1227,360470023001,21747
1228,360470023002,21147
1229,360470023003,34047
1230,360470029011,23829
1231,360470029012,-
1232,360470030001,124593
1233,360470030002,80288
1234,360470031011,174722
1235,360470031012,-
1236,360470031013,-
1237,360470031021,-
1238,360470033001,137250
1239,360470033002,124183
1240,360470034000,-
1241,360470034001,80625
1242,360470034002,106713
1243,360470034003,90469
1244,360470035001,146818
1245,360470035002,79844
1246,360470036001,98300
1247,360470036002,65815
1248,360470036003,107258
1249,360470037001,169709
1250,360470038000,-
1251,360470038001,142644
1252,360470039001,150724
1253,360470039002,93519
1254,360470039003,242750
1255,360470041001,163188
1256,360470041002,"250,000+"
1257,360470041003,225729
1258,360470043001,-
1259,360470043002,157143
1260,360470043003,149345
1261,360470043004,176563
1262,360470044000,-
1263,360470044001,186750
1264,360470044002,73971
1265,360470045001,166042
1266,360470045002,163664
1267,360470045003,170357
1268,360470045004,176875
1269,360470046000,-
1270,360470046001,-
1271,360470047001,145417
1272,360470049001,"250,000+"
1273,360470049002,132292
1274,360470049003,150642
1275,360470050000,-
1276,360470050001,83833
1277,360470050002,142431
1278,360470050003,176985
1279,360470051001,131944
1280,360470051002,184904
1281,360470051003,150243
1282,360470052010,-
